cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.9032897949,0.001159668,0.9092712402,0.0014343262,0.9092712402,0.0014343262,0.9640748603,0.0012660371,0.8065795898,0.0023193359,0.8185424805,0.0028686523,0.3790162522,0.0019171853
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.969619751,0.0020599365,0.9735717773,0.0001831055,0.9735717773,0.0001831055,0.9951399164,0.0003277166,0.939239502,0.004119873,0.9471435547,0.0003662109,0.1446465002,0.0064766752
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5411987305,3.05176e-05,0.5421905518,0.00050354,0.5421905518,0.00050354,0.5557361655,0.0015089735,0.0823974609,6.10352e-05,0.0843811035,0.0010070801,0.6851178985,0.0003359783
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.6520233154,0.008682251,0.6725463867,0.0023498535,0.6725463867,0.0023498535,0.7304530581,0.0036594579,0.3040466309,0.017364502,0.3450927734,0.004699707,0.9123842549,0.0045359377
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7647705078,0.002746582,0.7715606689,0.0028533936,0.7715606689,0.0028533936,0.8487650761,0.0016826456,0.5295410156,0.0054931641,0.5431213379,0.0057067871,0.5801612977,0.0243213009
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6700286865,0.0020904541,0.6711273193,0.0023040771,0.6711273193,0.0023040771,0.7204566328,0.0023255618,0.340057373,0.0041809082,0.3422546387,0.0046081543,0.5924373008,0.0037371628
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.6958770752,0.0001983643,0.6976928711,0.0009155273,0.6976928711,0.0009155273,0.7587162945,5.24558e-05,0.3917541504,0.0003967285,0.3953857422,0.0018310547,0.5739247836,0.0006199293
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7505950928,0.0002288818,0.7658843994,0.0001373291,0.7658843994,0.0001373291,0.8424736392,0.0007664356,0.5011901855,0.0004577637,0.5317687988,0.0002746582,0.5091092717,0.00400405
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5411987305,3.05176e-05,0.5421905518,0.00050354,0.5421905518,0.00050354,0.5557361655,0.0015089735,0.0823974609,6.10352e-05,0.0843811035,0.0010070801,0.6851178985,0.0003359783
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5395965576,0.0083770752,0.5511322021,0.004196167,0.5511322021,0.004196167,0.5684601692,0.0061465008,0.0791931152,0.0167541504,0.1022644043,0.008392334,0.6930594761,0.0036372673
