cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.7161407471,0.0003509521,0.723526001,0.0027008057,0.723526001,0.0027008057,0.7868196713,0.0021520471,0.4322814941,0.0007019043,0.447052002,0.0054016113,0.7434000336,0.0216462314
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.805480957,0.0078735352,0.8088989258,0.007232666,0.8088989258,0.007232666,0.8873664932,0.0067135422,0.6109619141,0.0157470703,0.6177978516,0.014465332,0.4696825463,0.0223090947
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,1,2,0.8192138672,0.0048217773,0.8264923096,0.0001983643,0.8264923096,0.0001983643,0.8828467932,0.0005795993,0.6384277344,0.0096435547,0.6529846191,0.0003967285,0.5609546751,0.0019461066
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,2,2,0.8530273438,0.004699707,0.8564147949,0.0021972656,0.8564147949,0.0021972656,0.9223110601,0.0049325842,0.7060546875,0.0093994141,0.7128295898,0.0043945312,0.5039757099,0.0065604635
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,4,2,0.936416626,0.0002288818,0.9370727539,0.0006713867,0.9370727539,0.0006713867,0.9822596479,0.0004152842,0.872833252,0.0004577637,0.8741455078,0.0013427734,0.3079516743,0.0220755558
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,1,2,0.5948791504,0.0054931641,0.5970916748,0.0059356689,0.5970916748,0.0059356689,0.6260549026,0.0062726429,0.1897583008,0.0109863281,0.1941833496,0.0118713379,0.9620032404,0.0097523313
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,2,2,0.6390075684,0.0034179688,0.6411437988,0.0023193359,0.6411437988,0.0023193359,0.6869349852,0.0037493762,0.2780151367,0.0068359375,0.2822875977,0.0046386719,0.8208863009,0.0382007826
SPECK32/64,ARX,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,soft,32768,4,2,0.7127838135,0.0009307861,0.7133026123,0.0011749268,0.7133026123,0.0011749268,0.7845940385,0.0023172498,0.425567627,0.0018615723,0.4266052246,0.0023498535,0.6810931936,0.0261606686
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.8282623291,0.014541626,0.8477020264,0.0060272217,0.8477020264,0.0060272217,0.8992973976,0.0097754207,0.6565246582,0.029083252,0.6954040527,0.0120544434,0.5769788381,0.0110738818
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.9322662354,0.0001678467,0.9335632324,0.0010070801,0.9335632324,0.0010070801,0.9746007584,0.0010028016,0.8645324707,0.0003356934,0.8671264648,0.0020141602,0.3106283098,0.003697589
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.9819335938,0.0007324219,0.9822998047,0.0008239746,0.9822998047,0.0008239746,0.9977355702,0.0002437262,0.9638671875,0.0014648438,0.9645996094,0.0016479492,0.0785272114,0.0065641752
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.6351623535,0.0060119629,0.6497344971,0.0018463135,0.6497344971,0.0018463135,0.6874068845,0.0009839181,0.270324707,0.0120239258,0.2994689941,0.003692627,0.849745512,0.0266079232
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.7258911133,0.008972168,0.7279663086,0.0077819824,0.7279663086,0.0077819824,0.7892362028,0.0068634618,0.4517822266,0.0179443359,0.4559326172,0.0155639648,0.6700196154,0.0012349449
SPECK32/64,ARX,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.8428192139,0.0167999268,0.847442627,0.0200195312,0.847442627,0.0200195312,0.9160337411,0.0157771446,0.6856384277,0.0335998535,0.6948852539,0.0400390625,0.4669682635,0.0430371119
